# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1663693140.203816413879395,0.00243,0.00013,0.00005,0.00094,0.00011,0.00018,0.00384
1663693140.237191438674927,0.00212,0.00013,0.00007,0.00094,0.00009,0.00017,0.00352
1663693140.270377159118652,0.00193,0.00012,0.00004,0.00102,0.00023,0.00017,0.00350
1663693140.303878068923950,0.00135,0.00013,0.00003,0.00139,0.00001,0.00017,0.00307
1663693140.337253570556641,0.00195,0.00012,0.00016,0.00091,0.00000,0.00015,0.00329
1663693140.370404481887817,0.00206,0.00015,0.00009,0.00082,0.00027,0.00015,0.00355
1663693140.404000759124756,0.00195,0.00017,0.00004,0.00086,0.00154,0.00015,0.00471
1663693140.437373638153076,0.00165,0.00014,0.00006,0.00123,0.00115,0.00014,0.00437
1663693140.470539331436157,0.00190,0.00013,0.00001,0.00159,0.00000,0.00014,0.00376
1663693140.504060506820679,0.00141,0.00012,0.00003,0.00145,0.00063,0.00017,0.00382
1663693140.537441968917847,0.00140,0.00013,0.00001,0.00166,0.00000,0.00015,0.00334
1663693140.570698976516724,0.00153,0.00013,0.00003,0.00150,0.00000,0.00017,0.00337
1663693140.604012012481689,0.00139,0.00012,0.00002,0.00117,0.00075,0.00013,0.00358
1663693140.637460947036743,0.00180,0.00013,0.00006,0.00120,0.00002,0.00014,0.00335
1663693140.670902967453003,0.00167,0.00012,0.00003,0.00127,0.00207,0.00025,0.00540
1663693140.704030275344849,0.00202,0.00013,0.00008,0.00126,0.00032,0.00017,0.00396
1663693140.737524747848511,0.00166,0.00013,0.00022,0.00139,0.00026,0.00014,0.00380
1663693140.770910739898682,0.00180,0.00015,0.00002,0.00115,0.00000,0.00016,0.00329
1663693140.804043531417847,0.00208,0.00015,0.00024,0.00086,0.00049,0.00016,0.00398
1663693140.837524414062500,0.00194,0.00016,0.00003,0.00106,0.00001,0.00014,0.00333
1663693140.870907783508301,0.00166,0.00012,0.00046,0.00083,0.00000,0.00017,0.00324
1663693140.904055356979370,0.00150,0.00019,0.00026,0.00072,0.00001,0.00015,0.00283
1663693140.937542200088501,0.00174,0.00012,0.00018,0.00072,0.00000,0.00018,0.00294
1663693140.970961570739746,0.00185,0.00014,0.00004,0.00064,0.00025,0.00020,0.00311
1663693141.004075050354004,0.00152,0.00013,0.00008,0.00067,0.00001,0.00015,0.00256
1663693141.037523269653320,0.00164,0.00012,0.00004,0.00050,0.00309,0.00014,0.00554
1663693141.070918321609497,0.00143,0.00012,0.00015,0.00127,0.00000,0.00014,0.00312
1663693141.104028701782227,0.00143,0.00015,0.00007,0.00128,0.00084,0.00012,0.00389
1663693141.137493371963501,0.00203,0.00013,0.00001,0.00151,0.00026,0.00011,0.00404
1663693141.170865535736084,0.00220,0.00014,0.00001,0.00196,0.00000,0.00016,0.00447
1663693141.203935861587524,0.00236,0.00014,0.00034,0.00180,0.00067,0.00016,0.00547
1663693141.237426280975342,0.00230,0.00013,0.00001,0.00184,0.00000,0.00013,0.00441
1663693141.270772695541382,0.00224,0.00024,0.00002,0.00190,0.00000,0.00014,0.00454
1663693141.304059743881226,0.00144,0.00045,0.00002,0.00171,0.00288,0.00015,0.00665
1663693141.337320089340210,0.00172,0.00014,0.00004,0.00204,0.00000,0.00019,0.00413
1663693141.370851755142212,0.00129,0.00014,0.00007,0.00218,0.00001,0.00021,0.00389
1663693141.404205799102783,0.00139,0.00019,0.00005,0.00202,0.00000,0.00012,0.00377
1663693141.437322378158569,0.00130,0.00015,0.00003,0.00209,0.00000,0.00017,0.00374
1663693141.470819234848022,0.00177,0.00013,0.00003,0.00210,0.00000,0.00020,0.00423
1663693141.504213094711304,0.00181,0.00014,0.00024,0.00194,0.00000,0.00013,0.00427
1663693141.537284135818481,0.00184,0.00013,0.00056,0.00167,0.00026,0.00014,0.00459
1663693141.570829868316650,0.00175,0.00012,0.00005,0.00173,0.00001,0.00020,0.00387
1663693141.604153156280518,0.00209,0.00019,0.00002,0.00150,0.00004,0.00016,0.00399
1663693141.637263298034668,0.00163,0.00013,0.00004,0.00137,0.00000,0.00017,0.00333
1663693141.670769453048706,0.00235,0.00012,0.00000,0.00115,0.00000,0.00020,0.00383
1663693141.704110145568848,0.00145,0.00013,0.00006,0.00096,0.00003,0.00014,0.00278
1663693141.737231492996216,0.00218,0.00028,0.00001,0.00099,0.00000,0.00017,0.00362
1663693141.770784139633179,0.00176,0.00014,0.00004,0.00098,0.00536,0.00018,0.00847
1663693141.804152488708496,0.00205,0.00013,0.00003,0.00202,0.00000,0.00014,0.00437
1663693141.837253808975220,0.00175,0.00013,0.00001,0.00198,0.00046,0.00018,0.00451
1663693141.870753049850464,0.00158,0.00015,0.00011,0.00204,0.00002,0.00016,0.00407
1663693141.904118776321411,0.00133,0.00015,0.00003,0.00154,0.00000,0.00012,0.00317
1663693141.937227725982666,0.00200,0.00015,0.00003,0.00147,0.00000,0.00012,0.00378
1663693141.970713853836060,0.00199,0.00020,0.00023,0.00143,0.00000,0.00014,0.00399
1663693142.004098653793335,0.00153,0.00014,0.00005,0.00121,0.00044,0.00013,0.00350
1663693142.037365674972534,0.00210,0.00014,0.00005,0.00150,0.00001,0.00017,0.00399
1663693142.070656299591064,0.00131,0.00013,0.00001,0.00128,0.00003,0.00012,0.00288
1663693142.104130506515503,0.00173,0.00012,0.00001,0.00114,0.00000,0.00017,0.00317
1663693142.137480735778809,0.00133,0.00012,0.00017,0.00114,0.00001,0.00016,0.00293
1663693142.170609474182129,0.00131,0.00012,0.00001,0.00113,0.00003,0.00011,0.00272
1663693142.204119443893433,0.00172,0.00013,0.00004,0.00110,0.00130,0.00011,0.00438
1663693142.237485408782959,0.00266,0.00015,0.00002,0.00149,0.00002,0.00012,0.00447
1663693142.270623922348022,0.00224,0.00012,0.00001,0.00136,0.00054,0.00013,0.00441
1663693142.304119586944580,0.00242,0.00013,0.00003,0.00142,0.00006,0.00015,0.00421
1663693142.337522745132446,0.00167,0.00014,0.00001,0.00137,0.00047,0.00011,0.00378
